x	y
33	180
104	186
187	186
220	177
272	150
376	208
383	218
391	244
407	45
432	119
445	129
450	143
455	130
462	163
468	168
478	268
484	16
492	-27
503	53
510	23
519	57
535	75
556	83
614	92
720	95
790	98
830	101
844	105
852	108
