x	y
-51	-26.5
-13	-26.5
-10	-18
-8	-10
-7	0
0	94
7	173
12	202
21	213
80	216
135	215
163	213
178	215
186	217
191	213
196	217
226	218
241	216
246	211
254	211
267	193
271	188
273	0
289	85
295	108
301	23
302	-11
308	-26.5
313	-16
318	-22
324	-18
332	-26.5
519	-26.5
