wl_um,radiance,data_source
0.1,6.580613687212333e-202,bb
0.10643300997786373,4.295899087321025e-189,bb
0.11286601995572745,9.540054767033838e-178,bb
0.11929902993359118,1.2464836995324594e-167,bb
0.1257320399114549,1.4813425366372037e-158,bb
0.13216504988931863,2.2739609938267547e-150,bb
0.13859805986718235,5.999109955607755e-143,bb
0.14503106984504607,3.440000643205944e-136,bb
0.1514640798229098,5.2100748858416685e-130,bb
0.15789708980077352,2.4534601093556555e-124,bb
0.16433009977863727,4.121871061838728e-119,bb
0.170763109756501,2.77657301043238e-114,bb
0.17719611973436472,8.286425591269667e-110,bb
0.18362912971222844,1.193798329488749e-105,bb
0.19006213969009217,8.941503776122544e-102,bb
0.1964951496679559,3.713573901540943e-98,bb
0.20292815964581962,9.047059491938032e-95,bb
0.20936116962368334,1.358254296916779e-91,bb
0.21579417960154706,1.312437229347337e-88,bb
0.2222271895794108,8.481589078700684e-86,bb
0.2286601995572745,3.792927556982814e-83,bb
0.23509320953513824,1.209888564573859e-80,bb
0.24152621951300196,2.8285140982318165e-78,bb
0.24795922949086568,4.96544889747389e-76,bb
0.2543922394687294,6.689939649774084e-74,bb
0.26082524944659313,7.054868901688744e-72,bb
0.26725825942445686,5.927538949989268e-70,bb
0.2736912694023206,4.032434431312577e-68,bb
0.2801242793801843,2.2537875695207034e-66,bb
0.28655728935804803,1.0487831176792943e-64,bb
0.29299029933591175,4.1129310754665575e-63,bb
0.2994233093137755,1.3744298957294083e-61,bb
0.3058563192916392,3.9537182341541325e-60,bb
0.3122893292695029,9.881966198088749e-59,bb
0.31872233924736665,2.164466708325552e-57,bb
0.3251553492252304,4.187443390648005e-56,bb
0.3315883592030941,7.207620879850655e-55,bb
0.3380213691809578,1.1112033642531539e-53,bb
0.34445437915882154,1.5440068112277045e-52,bb
0.35088738913668527,1.9447157694322114e-51,bb
0.35732039911454905,2.232190135257228e-50,bb
0.3637534090924127,2.3465340112798684e-49,bb
0.3701864190702765,2.2695804145679133e-48,bb
0.37661942904814016,2.0283951243015914e-47,bb
0.38305243902600394,1.6818502719261883e-46,bb
0.3894854490038676,1.2985962233994268e-45,bb
0.3959184589817314,9.369821572438314e-45,bb
0.40235146895959506,6.338402491802831e-44,bb
0.40878447893745884,4.03228114178508e-43,bb
0.4152174889153225,2.4193166386003105e-42,bb
0.4216504988931863,1.3727059278765545e-41,bb
0.42808350887104996,7.384251471082905e-41,bb
0.43451651884891374,3.774986961450057e-40,bb
0.4409495288267774,1.8381443622484773e-39,bb
0.4473825388046412,8.543146277009518e-39,bb
0.45381554878250485,3.7974907344985076e-38,bb
0.46024855876036863,1.6174624840757523e-37,bb
0.4666815687382323,6.613068323878049e-37,bb
0.4731145787160961,2.5997620716672953e-36,bb
0.47954758869395975,9.842765705369778e-36,bb
0.4859805986718235,3.5942480947741077e-35,bb
0.4924136086496872,1.2677288977605233e-34,bb
0.498846618627551,4.324741204915027e-34,bb
0.5052796286054146,1.4287858717413594e-33,bb
0.5117126385832784,4.576960681506834e-33,bb
0.5181456485611421,1.4232904385454169e-32,bb
0.5245786585390059,4.301250218343162e-32,bb
0.5310116685168695,1.2645497802106545e-31,bb
0.5374446784947333,3.6203497658399052e-31,bb
0.543877688472597,1.0103020726455176e-30,bb
0.5503106984504608,2.750625230439095e-30,bb
0.5567437084283244,7.312504605431406e-30,bb
0.5631767184061882,1.8998237166953986e-29,bb
0.5696097283840519,4.827413569984121e-29,bb
0.5760427383619157,1.2005936809145301e-28,bb
0.5824757483397793,2.9246220813884884e-28,bb
0.5889087583176431,6.982866379111571e-28,bb
0.5953417682955068,1.6352085749134813e-27,bb
0.6017747782733706,3.758036072042311e-27,bb
0.6082077882512342,8.481221583971548e-27,bb
0.614640798229098,1.8806841720167055e-26,bb
0.6210738082069617,4.0998995475721006e-26,bb
0.6275068181848255,8.791448863465551e-26,bb
0.6339398281626891,1.8552319020326465e-25,bb
0.6403728381405529,3.854767348589437e-25,bb
0.6468058481184166,7.889756468561841e-25,bb
0.6532388580962804,1.5914378161505209e-24,bb
