x	y
52	-17
62	213
65	222
102	243
124	306
139	311
144	319
163	326
181	329
274	333
405	339
545	340
560	339
864	339
1020	342
1046	340
1078	335
1088	330
1096	325
1107	316
1120	302
1131	281
1142	232
1170	34
1176	14
1182	0
1191	-32
1202	-40
1317	-40
