"Date/Time","Date/Time","No.1","No.2","No.3"
"Date/Time","Date/Time","A","B","air"
"","","°C","°C","°C"
"2025-10-03 14:14:42","45933.5935416667","52.8","52.8","35.1"
"2025-10-03 14:14:47","45933.5935995370","52.9","52.8","35.1"
"2025-10-03 14:14:52","45933.5936574074","53.0","52.9","35.0"
"2025-10-03 14:14:57","45933.5937152778","53.2","53.1","35.0"
"2025-10-03 14:15:02","45933.5937731481","53.1","53.0","35.0"
"2025-10-03 14:15:07","45933.5938310185","53.0","52.8","34.9"
"2025-10-03 14:15:12","45933.5938888889","52.9","52.8","34.9"
"2025-10-03 14:15:17","45933.5939467593","52.8","52.6","34.9"
"2025-10-03 14:15:22","45933.5940046296","52.6","52.5","34.9"
"2025-10-03 14:15:27","45933.5940625000","52.6","52.5","35.0"
"2025-10-03 14:15:32","45933.5941203704","52.6","52.6","35.1"
"2025-10-03 14:15:37","45933.5941782407","52.6","52.6","35.1"
"2025-10-03 14:15:42","45933.5942361111","52.6","52.6","35.1"
"2025-10-03 14:15:47","45933.5942939815","52.6","52.6","35.1"
"2025-10-03 14:15:52","45933.5943518519","52.6","52.6","35.0"
"2025-10-03 14:15:57","45933.5944097222","52.6","52.6","35.0"
"2025-10-03 14:16:02","45933.5944675926","52.7","52.7","35.0"
"2025-10-03 14:16:07","45933.5945254630","52.8","52.7","35.1"
"2025-10-03 14:16:12","45933.5945833333","52.9","52.8","35.2"
"2025-10-03 14:16:17","45933.5946412037","52.9","52.8","35.3"
"2025-10-03 14:16:22","45933.5946990741","53.0","52.9","35.4"
"2025-10-03 14:16:27","45933.5947569444","53.1","53.0","35.3"
"2025-10-03 14:16:32","45933.5948148148","53.2","53.1","35.3"
"2025-10-03 14:16:37","45933.5948726852","53.2","53.1","35.2"
"2025-10-03 14:16:42","45933.5949305556","53.2","53.1","35.2"
"2025-10-03 14:16:47","45933.5949884259","53.2","53.0","35.1"
"2025-10-03 14:16:52","45933.5950462963","53.2","53.0","35.1"
"2025-10-03 14:16:57","45933.5951041667","53.1","52.9","35.0"
"2025-10-03 14:17:02","45933.5951620370","53.0","52.9","35.1"
"2025-10-03 14:17:07","45933.5952199074","53.0","52.9","35.1"
"2025-10-03 14:17:12","45933.5952777778","53.0","52.9","35.2"
"2025-10-03 14:17:17","45933.5953356481","53.1","52.9","35.3"
"2025-10-03 14:17:22","45933.5953935185","53.2","53.0","35.4"
"2025-10-03 14:17:27","45933.5954513889","53.3","53.1","35.4"
"2025-10-03 14:17:32","45933.5955092593","53.4","53.3","35.5"
"2025-10-03 14:17:37","45933.5955671296","53.5","53.3","35.5"
"2025-10-03 14:17:42","45933.5956250000","53.5","53.4","35.4"
"2025-10-03 14:17:47","45933.5956828704","53.5","53.4","35.4"
"2025-10-03 14:17:52","45933.5957407407","53.6","53.5","35.4"
"2025-10-03 14:17:57","45933.5957986111","53.6","53.4","35.4"
"2025-10-03 14:18:02","45933.5958564815","53.5","53.3","35.4"
"2025-10-03 14:18:07","45933.5959143518","53.6","53.3","35.3"
"2025-10-03 14:18:12","45933.5959722222","53.7","53.4","35.3"
"2025-10-03 14:18:17","45933.5960300926","53.9","53.5","35.5"
"2025-10-03 14:18:22","45933.5960879630","54.0","53.6","35.4"
"2025-10-03 14:18:27","45933.5961458333","54.0","53.6","35.3"
"2025-10-03 14:18:32","45933.5962037037","54.0","53.7","35.4"
